SIZE,VICTIM,CRIME,TIME,PLACE,MOTIVE,WEAPON,BANDIT
2,Drunk Ants,Sock Swap,Evening,Picnic Rug,Hungry,Feather Pen,Farmer Zoom
2,Lazy Cows,Jazz Theft,Lunch,Pond Bank,Felt Blue,Banana Mic,Farmer Zoom
2,Drunk Ants,Mud Trick,Lunch,Forest Den,Too Sweet,Melon Wand,Chef Floof
5,Bored Dogs,Leaf Scam,Dawn,Flower Lot,Too Sweet,Cheese Ray,DJ Whisker
3,Chill Frogs,Pie Theft,Twilight,Flower Lot,Cold Feet,Bread Bomb,Count Cluck
4,Nervous Pigs,Pie Theft,Midnight,Picnic Rug,Felt Blue,Cheese Ray,Chef Floof
5,Angry Duck,Corn Con,Sunrise,Ocean Bed,Felt Blue,Cheese Ray,Queen Antsy
3,Angry Duck,Sock Swap,Snack Time,Flower Lot,Too Sweet,Bubble Gun,DJ Whisker
4,Lazy Cows,Honey Heist,Tea Time,Picnic Rug,Cold Feet,Soda Spray,Bear Hug
5,Cool Cats,Corn Con,Twilight,Sand Pit,Lost Bet,Taco Blade,Kid Scout
4,Bored Dogs,Sock Swap,Noon,Barn Roof,Too Sweet,Sticky Net,Sir Bark
3,Cool Cats,Crumb Raid,Sunrise,Cloud City,Hungry,Fork Dart,Chef Floof
5,Chill Frogs,Sock Swap,Lunch,Alley Jam,Too Sweet,Fork Dart,Kid Scout
4,Lazy Cows,Moo Theft,Sunrise,Forest Den,Too Sweet,Banana Mic,Chef Floof
