epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,252.292,0.88228,1.09511,0.9877,0.9898,0.81818,0.87146,0.63217,0.91264,1.78175,1.09459,0.001703,0.001703,0.001703
17,267.813,0.87646,1.05497,1.023,0.81501,0.81818,0.83321,0.63766,0.91147,1.58182,1.10043,0.0016832,0.0016832,0.0016832
18,283.269,0.7752,1.01001,0.93299,0.89898,0.80985,0.84221,0.61936,1.07811,1.78901,1.31987,0.0016634,0.0016634,0.0016634
19,298.814,0.7515,0.91095,0.91311,0.99143,0.81818,0.89021,0.61675,1.10493,1.38951,1.39101,0.0016436,0.0016436,0.0016436
20,315.384,0.83041,1.02062,0.99064,0.89731,0.90909,0.88066,0.58065,1.07357,1.37858,1.25935,0.0016238,0.0016238,0.0016238
21,332.15,0.80714,0.97016,0.96194,0.99361,0.81818,0.87949,0.69155,0.86344,1.20296,1.06565,0.001604,0.001604,0.001604
22,348.129,0.78991,0.91802,0.97796,0.98568,0.72727,0.84384,0.63323,0.9486,1.11465,1.06527,0.0015842,0.0015842,0.0015842
23,364.04,0.75935,0.84142,0.96758,1,0.90342,0.90521,0.74794,0.76834,1.12635,1.02733,0.0015644,0.0015644,0.0015644
24,380.289,0.82319,0.89749,1.01324,0.95023,0.90909,0.90807,0.70943,0.88364,1.49875,1.07732,0.0015446,0.0015446,0.0015446
25,396.628,0.75891,0.79106,0.93761,1,0.90478,0.90625,0.69828,0.91361,1.34626,1.0869,0.0015248,0.0015248,0.0015248
26,412.586,0.70859,0.83988,0.97304,1,0.90434,0.90521,0.69994,0.86685,0.9751,1.08923,0.001505,0.001505,0.001505
27,428.696,0.74576,0.82935,0.93675,0.81144,0.81818,0.85313,0.64919,0.84268,0.89052,1.08692,0.0014852,0.0014852,0.0014852
28,444.955,0.69681,0.7644,0.93041,0.90823,0.90044,0.88884,0.67007,0.88466,0.89802,1.1231,0.0014654,0.0014654,0.0014654
29,461.188,0.69167,0.79175,0.94291,0.81123,0.90909,0.87221,0.67836,0.78321,0.99065,1.05948,0.0014456,0.0014456,0.0014456
30,477.394,0.68907,0.70767,0.93181,0.87024,0.72727,0.78654,0.61798,0.81081,1.23517,1.03253,0.0014258,0.0014258,0.0014258
31,493.419,0.77645,0.8192,0.96304,0.89338,0.81818,0.87544,0.68379,0.78572,0.92958,1.01715,0.001406,0.001406,0.001406
32,509.508,0.74951,0.72297,0.93197,0.83254,0.90434,0.88121,0.69838,0.72705,0.96626,1.02523,0.0013862,0.0013862,0.0013862
33,525.933,0.783,0.7606,0.96124,0.9083,0.90116,0.88884,0.69219,0.74877,0.94203,1.03064,0.0013664,0.0013664,0.0013664
34,541.93,0.73023,0.70033,0.91176,0.90883,0.90645,0.89703,0.70111,0.79151,0.85696,1.06018,0.0013466,0.0013466,0.0013466
35,557.873,0.71505,0.69153,0.95617,1,0.90882,0.90522,0.68505,0.83863,0.82028,1.04004,0.0013268,0.0013268,0.0013268
36,573.788,0.79404,0.71572,0.94223,0.99493,0.90909,0.90521,0.65076,0.87259,0.93283,1.07208,0.001307,0.001307,0.001307
37,590.274,0.68165,0.68538,0.91592,0.99218,0.90909,0.90521,0.64787,0.85871,0.94952,1.09133,0.0012872,0.0012872,0.0012872
38,606.099,0.67761,0.65439,0.91844,0.99913,0.90909,0.90523,0.67447,0.86853,0.82622,1.08328,0.0012674,0.0012674,0.0012674
